Product Name,Price,Quantity,Store,Image
Limón Tahití Turbo,8300,1 Und,Rappi,https://images.rappi.com/products/5a315f56-fa25-4a33-bdf7-134c49f52a93.png?d=300x300&e=webp&q=10
Arándanos Peq Turbo,9900,1 Und,Rappi,https://images.rappi.com/products/a5edb6a0-3c09-4451-9500-9872a57c20bd.png?d=300x300&e=webp&q=10
Uva Verde Sin Semilla Peq Turbo,22500,1 Und,Rappi,https://images.rappi.com/products/78d9414a-c0d4-452c-8c4d-26f7a419b166.png?d=300x300&e=webp&q=10
Mango Tommy Turbo,6000,1 Und,Rappi,https://images.rappi.com/products/bf9f7b5e-ffe8-4710-b950-81ab3a58ddbf.png?d=300x300&e=webp&q=10
Granadilla Turbo,2800,1 Und,Rappi,https://images.rappi.com/products/588dc4d2-7841-4f7c-ba4b-497210b2c198.png?d=300x300&e=webp&q=10
Durazno Turbo,1900,1 Und,Rappi,https://images.rappi.com/products/bbd2cc4b-0991-4d19-bfce-95262bd36b7e.png?d=300x300&e=webp&q=10
Mandarina Arrayana Turbo,2950,1 Und,Rappi,https://images.rappi.com/products/21e79e85-8494-4c11-8aa9-68cb231c8a70.png?d=300x300&e=webp&q=10
Manzana Verde Turbo,2900,1 Und,Rappi,https://images.rappi.com/products/ee1f6b86-9731-4a60-bb6e-099bca5b878f.png?d=300x300&e=webp&q=10
Manzana Roja Turbo,2900,1 Und,Rappi,https://images.rappi.com/products/2e913794-635e-4079-8c8c-c6ae8c1150bf.png?d=300x300&e=webp&q=10
Pitahaya Turbo,7000,1 Und,Rappi,https://images.rappi.com/products/76f738a2-8013-4dad-b127-b20ddcd8cbe1.png?d=300x300&e=webp&q=10
Pera Verde Turbo,2700,1 Und,Rappi,https://images.rappi.com/products/9456e570-380f-426f-aac3-0d1601bb5f7a.png?d=300x300&e=webp&q=10
Papaya Maradol Turbo,9450,1 Und,Rappi,https://images.rappi.com/products/54691819-be2f-4317-b148-e936ab06a4fe.png?d=300x300&e=webp&q=10
Piña Golden Turbo,10900,1 Und,Rappi,https://images.rappi.com/products/3275a00d-37b5-4d17-b8a9-98c39f51cb03.png?d=300x300&e=webp&q=10
Toronja Turbo,2500,1 x 1 Und,Rappi,https://images.rappi.com/products/c2214f92-bd26-4c87-adc0-8a87951ffd91.png?d=300x300&e=webp&q=10
Sandia Baby Turbo,13000,1 Und,Rappi,https://images.rappi.com/products/d1ea7061-ff8d-43ef-992b-c66ee9a097d7.png?d=300x300&e=webp&q=10
Uchuva Peq Turbo,3300,1 Und,Rappi,https://images.rappi.com/products/29506595-c71e-428d-a1d8-2bbc26a8ed8e.png?d=300x300&e=webp&q=10
Naranja Tangelo Turbo Malla 2500gr,23500,1 Und,Rappi,https://images.rappi.com/products/d73f3475-a077-4a5f-b79f-613586209a74.png?d=300x300&e=webp&q=10
Kiwi Turbo,2750,1 Und,Rappi,https://images.rappi.com/products/23312e35-f659-4846-acb3-f0b1c482da37.png?d=300x300&e=webp&q=10
Feijoa Turbo,1600,1 Und,Rappi,https://images.rappi.com/products/54719f0e-ca3b-4cf4-b025-0177686c06e1.png?d=300x300&e=webp&q=10
Maracuyá Turbo,1750,1 Und,Rappi,https://images.rappi.com/products/b22f466b-48c6-446c-ac8d-c709a6d36b57.png?d=300x300&e=webp&q=10
Uva Isabella,4300,1 Und,Rappi,https://images.rappi.com/products/b4ed67c2-1581-4395-9b8b-d21f9d650d0a.png?d=300x300&e=webp&q=10
Limon Mandarino Turbo,5000,1 Und,Rappi,https://images.rappi.com/products/c9e690d0-918d-4add-8d5a-3e8df4cd220d.png?d=300x300&e=webp&q=10
Melón Turbo,9500,1 Und,Rappi,https://images.rappi.com/products/5edee91d-c7bb-4b8f-9646-dc6c4a3e8d18.png?d=300x300&e=webp&q=10
Mora Fresca Turbo,5500,1 Und,Rappi,https://images.rappi.com/products/821fdbf2-24ff-4d0a-8a86-6d18287ee0d7.jpg?d=300x300&e=webp&q=10
Lulo Turbo,1800,1 Und,Rappi,https://images.rappi.com/products/8f85bd8e-901f-4a0a-8e81-90120e10c06e.png?d=300x300&e=webp&q=10
Uva Morada Peq Turbo,17000,1 Und,Rappi,https://images.rappi.com/products/f36ed10a-c207-4f45-86c7-14e969ad1cf8.png?d=300x300&e=webp&q=10
Ciruela Nacional Turbo,5900,1 Und,Rappi,https://images.rappi.com/products/a864a1f3-cc95-427a-ad10-55ff475b80bd.png?d=300x300&e=webp&q=10
Tomate De Arbol Turbo,1600,1 Und,Rappi,https://images.rappi.com/products/c8e347cd-0646-482f-956e-b0acc770e8b7.png?d=300x300&e=webp&q=10
Vive Agro Mix Fresa Kiwi Melón en Trozos,14000,1 Und,Rappi,https://images.rappi.com/products/e054f00c-e9cf-414c-b956-3e753c5e2ad8.png?d=300x300&e=webp&q=10
"Electrolit Suero Rehidratante Sabor a Maracuyá
",8600,1 X 625 mL,Rappi,https://images.rappi.com/products/e5873797-1830-41c0-83bf-7113f6b11648.jpg?d=300x300&e=webp&q=10
Bonfiest Alivio Rápido,31600,1 X 8 Und,Rappi,https://images.rappi.com/products/cf46ceea-ed7c-4c65-abfa-72360f30060a.jpg?d=300x300&e=webp&q=10
Electrolit Suero Rehidratante Fresa-Kiwi,8600,1 X 625 mL,Rappi,https://images.rappi.com/products/596742257257_tohectuhpqwa_623909863963_iywntzkblqgd_1782097_1.png?d=300x300&e=webp&q=10
Electrolit Suero Rehidratante Sabor Fresa,8600,1 X 625.0 mL,Rappi,https://images.rappi.com/products/51b2cafe-ad11-40b4-af4e-922231979f2c.jpg?d=300x300&e=webp&q=10
Pedialyte Max Suero 60 mEq con Zinc Sabor Uva,7800,1 X 500 mL,Rappi,https://images.rappi.com/products/83a997dc-e0e0-4ea8-822f-e4e245b89edf.jpg?d=300x300&e=webp&q=10
Electrolit Suero Oral Rehidratante con Sabor a Lima Limón,8600,1 X 625 mL,Rappi,https://images.rappi.com/products/b132a11a-8dec-4030-b6df-48e5c0da4fe7.jpg?d=300x300&e=webp&q=10
Recipe Bisacodilo (5 mg),3650,1 X 10 Und,Rappi,https://images.rappi.com/products/884205441250_qlwjyghklrbg_835640952182_tftnxqleyuyp_132167_1.png?d=300x300&e=webp&q=10
Electrolit Suero Rehidratante Sabor Naranja Mandarina,8600,1 X 625 mL,Rappi,https://images.rappi.com/products/109670967696_gyelubvpgtlp_244258965655_lnxrtgcaimyf_6989_1.png?d=300x300&e=webp&q=10
