Product Name,Price,Quantity,Store,Image
Detergente En Polvo FAB Ultra Flash (2000  gr),20400,1,Exito,No image found
Bolsa De Basura Negra EKONO SIN REF,1890,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24084691-300-auto/Bolsa-De-Basura-Negra-EKONO-SIN-REF-3462329_a.jpg?v=638588717181800000
Bolsa Basura 43x48 Papelera EKONO Sin REF,3950,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24079105-300-auto/Bolsa-Basura-43x48-Papelera-EKONO-Sin-REF-3101013_a.jpg?v=638588628550800000
Detergente En Polvo ARIEL Revitacolor (4000  gr),37520,1,Exito,No image found
Blanqueador CLOROX Original (3800  ml),15550,1,Exito,No image found
Esponja ETERNA doble uso pague 2 lleve 4 (2  und),5780,1,Exito,No image found
Papel higiénico FAMILIA Expert 4 hojas x9 rollos (234  mts),18997,1,Exito,No image found
Papel  ROSAL HIGIENICO TRIPLE HOJA XXG ULTR (120  mts),9840,1,Exito,No image found
Detergente TOP Polvo con Suavizante (4000  gr),27112,1,Exito,No image found
Papel higiénico FAMILIA delux ultra suave x12 rollos (355  mts),32150,1,Exito,No image found
Suavizante para ropa  EXITO MARCA PROPIA  (3000  ml),8980,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24447976-300-auto/Suavizante-Aroma-Floral-EXITO-MARCA-PROPIA-Sin-ref-3403552_a.jpg?v=638609472763970000
Suavizante AROMATEL Botella Floral X2Uds (1800  ml),13230,1,Exito,No image found
Limpia Pisos FABULOSO Antibacterial Lavanda (2000  ml),10875,1,Exito,No image found
LAVALOZA EKONO  (1000  gr),4790,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24448769-300-auto/Lavaloza-Crema-EKONO-SIN-REF-3136901_a.jpg?v=638609537873570000
Detergente EKONO  (1000  gr),3870,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24446005-300-auto/Detergente-en-polvo-floral-x-1000-gr-1705880_a.jpg?v=638609416925930000
Toallas de cocina FAMILIA Jumbo practi díarias (150  und),5000,1,Exito,No image found
Jabon T/L/D TODOS LOS DIAS  (1000  ml),4440,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24447094-300-auto/Jabon-Barra-Liquido-Azul-TLD-TODOS-LOS-DIAS-1000-ml-3118046_a.jpg?v=638609448100970000
Detergente Líquido FAB Ultra Flash Vibra Concentrado (330  ml),16150,1,Exito,No image found
Bolsa Basura Papelera Blanca T/L/D TODOS LOS DIAS SIN REFER,2180,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24077479-300-auto/Bolsa-Basura-Papelera-43x48-TLD-TODOS-LOS-DIAS-SIN-REFER-3008976_a.jpg?v=638588607702070000
