Product Name,Price,Quantity,Store,Image
Vino Tinto CARMEN MARCA EXCLUSIVA Carmenere (750  ml),24635,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17474497-500-auto?v=638613218494800000&width=500&height=auto&aspect=true
Vino Tinto LAS MORAS Malbec (750  ml),58800,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472810-500-auto?v=638613174875200000&width=500&height=auto&aspect=true
Vino Blanco PARTAGER  (750  ml),39864,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17474625-500-auto?v=638613222180100000&width=500&height=auto&aspect=true
Vino Tinto TRES MEDALLAS  (750  ml),32076,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17473148-500-auto?v=638613184632830000&width=500&height=auto&aspect=true
VINO  ALTOZANO Tempranil (750  ml),45360,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472929-500-auto?v=638613178379470000&width=500&height=auto&aspect=true
Vino Blanco LAZO Malbec (750  ml),37900,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17422545-500-auto?v=638611450345070000&width=500&height=auto&aspect=true
Vino FINCA LA ESCONDIDA Malbec (750  ml),44775,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472838-500-auto?v=638613175649300000&width=500&height=auto&aspect=true
Vino Blanco SEGU OLLE  (1000  ml),31100,1000,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472636-500-auto?v=638613169670970000&width=500&height=auto&aspect=true
Vino Tinto PORTILLO Malbec (750  ml),51282,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17474518-500-auto?v=638613218972730000&width=500&height=auto&aspect=true
Vino PARTAGER Garnacha (750  ml),37488,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17473083-500-auto?v=638613182794500000&width=500&height=auto&aspect=true
Vino Espumoso CODORNIU  (750  ml),58960,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472503-500-auto?v=638613165251300000&width=500&height=auto&aspect=true
Vino Tinto PROTOS  (750  ml),104175,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472928-500-auto?v=638613178359000000&width=500&height=auto&aspect=true
Vino SANTA CAROLINA Sauvignon Blanc (750  ml),36150,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17473263-500-auto?v=638613187672300000&width=500&height=auto&aspect=true
Vino MORANDE Carmenere (750  ml),34122,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17473283-500-auto?v=638613188171630000&width=500&height=auto&aspect=true
Vino Tinto NORTON  (750  ml),74200,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472975-500-auto?v=638613179532430000&width=500&height=auto&aspect=true
Vino Tinto APOTHIC RED Cabernet Sauvignon (750  ml),46735,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17469516-500-auto?v=638612844311170000&width=500&height=auto&aspect=true
Vino Rosado LAS MORAS Syrah Rosé (750  ml),65300,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17473241-500-auto?v=638613186973900000&width=500&height=auto&aspect=true
Vino Tinto DIAZ BAYO Tempranillo (750  ml),83215,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17477544-500-auto?v=638613284301930000&width=500&height=auto&aspect=true
Vino Tinto SIETE SOLES Cabernet Sauvignon (750  ml),25000,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17474181-500-auto?v=638613210244870000&width=500&height=auto&aspect=true
Vino ALTANZA Tempranillo (750  ml),38450,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17473201-500-auto?v=638613185965430000&width=500&height=auto&aspect=true
Vino Tinto PORTILLO Merlot (750  ml),58938,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17475680-500-auto?v=638613249136500000&width=500&height=auto&aspect=true
Vino Rosado TRES MEDALLAS Blend (750  ml),32010,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17474413-500-auto?v=638613216266370000&width=500&height=auto&aspect=true
Vino Espumoso CHANDON  (750  ml),64125,750,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472559-500-auto?v=638613167362230000&width=500&height=auto&aspect=true
Whisky BUCHANAN S Deluxe 12 Años (750  ml),132000,12,Carulla,https://carulla.vtexassets.com/arquivos/ids/17472108-500-auto?v=638613155149970000&width=500&height=auto&aspect=true
Whisky GLENLIVET founders reserve single malt   (700  ml),180900,700,Carulla,https://carulla.vtexassets.com/arquivos/ids/18592590-500-auto?v=638676294911800000&width=500&height=auto&aspect=true
