Product Name,Price,Quantity,Store,Image
DEDITO DE QUESO BACKEREI 10 UND - 250 G,5990,"250 g (g a $ 23,96)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002739.png
DEDITOS DE PESCADO PESQUEROS 400 G,9990,"400 g (g a $ 24,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005364.png
LASAÑA BOLOÑESA BACKEREI 350 G,7990,"350 g (g a $ 22,83)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002080.png
PAN DE YUCA BACKEREI 8 UNDS 160 G,5990,"160 g (g a $ 37,44)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004870.png
CONO DE VAINILLA KÜLFI 90 G,1990,"90 g (g a $ 22,11)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005579.png
HELADO DE MACADAMIA KÜLFI,13950,"650 g (g a $ 21,46)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002664.png
HELADO DE MORA KÜLFI,13500,"650 g (g a $ 20,77)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005942.png
HELADO DE PISTACHO KÜLFI,13950,"650 g (g a $ 21,46)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006355.png
HELADO DE YOGURT CON SALSA DE MORA,13950,"650 g (g a $ 21,46)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003451.png
HELADO VAINILLA GALLETA CHOC KÜLFI,13950,"650 g (g a $ 21,46)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002267.png
HELADO VAINILLA KÜLFI,13950,"650 g (g a $ 21,46)",D1,No image found
HELADOS DE CREMA KULFI 3 UND X 100 G,13950,3 un (un a $ 4.650),D1,No image found
PALETA DE FRUTAS TREEFRUTS 70 G 6 UND,11500,"6 un (un a $ 1.916,67)",D1,No image found
TORTA DE HELADO KÜLFI 450 GRS,14600,"450 g (g a $ 32,44)",D1,No image found
VASITO DE HELADO KÜLFI 65 G,2990,65 g (g a $ 46),D1,No image found
TORTA DE HELADO KÜLFI 480G,19950,"480 g (g a $ 41,56)",D1,No image found
HELADO KÜLFI TRI,13950,"650 g (g a $ 21,46)",D1,No image found
CONO KÜLFILATTO 75 G,2990,"75 g (g a $ 39,87)",D1,No image found
ARVEJA VERDE CONGELADA 500 G,5990,"500 g (g a $ 11,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006025.png
FRESA CONGELADA TREE FRUTS 500 G,5990,"500 g (g a $ 11,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002531.png
MAIZ CONGELADO X 500 GR,5990,"500 g (g a $ 11,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005604.png
MEZCLA DE VERDURAS WOK COOLTIVO 400 G,6490,"400 g (g a $ 16,23)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003148.png
MIX DE VERDURAS COOLTIVO 500 G,5700,"500 g (g a $ 11,4)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002532.png
MORA CONGELADA TREE FRUTS 500 G,5990,"500 g (g a $ 11,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002530.png
PULPA DE FRUTA SABORES SURTIDOS TREE FRUTS 3 UN...,5490,"480 g (g a $ 11,44)",D1,No image found
MAÍZ DULCE CONGELADO COOLTIVO 500G,5990,"500 g (g a $ 11,98)",D1,No image found
ARVEJA VERDE CONGELADA COOLTIVO 500 G,5990,"500 g (g a $ 11,98)",D1,No image found
BROCOLI CONGELADO COOLTIVO 500G,6990,"500 g (g a $ 13,98)",D1,No image found
BASE SALSA BECHAMEL/CARBONARA RICO 50G,2700,50 g (g a $ 54),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002681.png
BASE SALSA BOLOGNESA/NAPOLITANA RICO 48G,2700,50 g (g a $ 54),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002266.png
CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS,1990,"84 g (g a $ 23,69)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002007.png
CALDO DE GALLINA SPECIARIA 8 UND - 84 G,1990,"84 g (g a $ 23,69)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001009.png
CALDO DE GALLINA MAGGI 10 UND 110 G,3990,"110 g (g a $ 36,27)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002946.png
CREMA DE POLLO RICO 42G,1650,"42 g (g a $ 39,29)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006344.png
CREMA POLLO CHAMPIÑONES RICO 42G,1650,"42 g (g a $ 39,29)",D1,No image found
SOPA DE AJIACO RICO 42G,1390,"42 g (g a $ 33,1)",D1,No image found
SOPA DE CHOCLO RICO 42G,1390,"42 g (g a $ 33,1)",D1,No image found
CALDO DESMENUZADO GALLINA SPECIARIA 12 U,2990,"110 g (g a $ 27,18)",D1,No image found
AJO GRANULADO SPECIARIA 28 G,1990,"28 g (g a $ 71,07)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003293.png
BICARBONATO DE SODIO SPECIARIA 200 GR,2300,"200 g (g a $ 11,5)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003098.png
CALDO CON COSTILLA MAGGI 10 UND 110G,3990,"110 g (g a $ 36,27)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006292.png
CANELA EN ASTILLAS SPECIARIA 20 GR,2200,20 g (g a $ 110),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003388.png
CANELA MOLIDA PURA SPECIARIA 28 G,2490,"28 g (g a $ 88,93)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003282.png
CLAVO ENTERO SPECIARIA 20 G,2200,20 g (g a $ 110),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003894.png
COLORANTE NATURAL CURCUMA SPECIARIA 28 G,1990,"28 g (g a $ 71,07)",D1,No image found
COMINO SPECIARIA 28 G,1990,"28 g (g a $ 71,07)",D1,No image found
CURRY EN POLVO SPECIARIA 28 G,1900,"28 g (g a $ 67,86)",D1,No image found
JENGIBRE EN POLVO SPECIARIA 28 G,1990,"28 g (g a $ 71,07)",D1,No image found
LAUREL SPECIARIA 20 G,1750,"20 g (g a $ 87,5)",D1,No image found
MEZCLA CONDIMENTOS SAZONAREY 35 G,1000,"35 g (g a $ 28,57)",D1,No image found
MEZCLA PARA ADOBAR DELIKA 110 G,2490,"110 g (g a $ 22,64)",D1,No image found
